дек 23 10:12:38 	8.144GiB / 31.03GiB	26.25%	15.38%
дек 23 10:12:40 	8.177GiB / 31.03GiB	26.35%	179.50%
дек 23 10:12:42 	8.179GiB / 31.03GiB	26.36%	85.70%
дек 23 10:12:44 	8.179GiB / 31.03GiB	26.36%	88.53%
дек 23 10:12:46 	8.179GiB / 31.03GiB	26.36%	84.71%
дек 23 10:12:49 	8.179GiB / 31.03GiB	26.36%	90.38%
дек 23 10:12:51 	8.169GiB / 31.03GiB	26.33%	90.50%
дек 23 10:12:53 	8.169GiB / 31.03GiB	26.33%	1.81%
дек 23 10:12:55 	8.158GiB / 31.03GiB	26.29%	99.24%
дек 23 10:12:57 	8.161GiB / 31.03GiB	26.30%	95.12%
дек 23 10:12:59 	8.161GiB / 31.03GiB	26.30%	126.84%
дек 23 10:13:01 	8.161GiB / 31.03GiB	26.30%	94.77%
дек 23 10:13:03 	8.161GiB / 31.03GiB	26.30%	94.31%
дек 23 10:13:06 	8.161GiB / 31.03GiB	26.30%	26.39%
дек 23 10:13:08 	8.161GiB / 31.03GiB	26.30%	62.05%
дек 23 10:13:10 	8.16GiB / 31.03GiB	26.30%	86.18%
дек 23 10:13:12 	8.152GiB / 31.03GiB	26.27%	89.69%
дек 23 10:13:14 	8.152GiB / 31.03GiB	26.27%	89.87%
дек 23 10:13:16 	8.152GiB / 31.03GiB	26.27%	90.28%
дек 23 10:13:18 	8.153GiB / 31.03GiB	26.27%	90.67%
дек 23 10:13:20 	8.153GiB / 31.03GiB	26.27%	22.78%
дек 23 10:13:22 	8.153GiB / 31.03GiB	26.27%	88.48%
дек 23 10:13:25 	8.153GiB / 31.03GiB	26.27%	88.31%
дек 23 10:13:27 	8.153GiB / 31.03GiB	26.27%	85.28%
дек 23 10:13:29 	8.153GiB / 31.03GiB	26.27%	88.05%
дек 23 10:13:31 	8.153GiB / 31.03GiB	26.27%	88.85%
дек 23 10:13:33 	8.153GiB / 31.03GiB	26.27%	6.48%
дек 23 10:13:35 	8.143GiB / 31.03GiB	26.24%	46.76%
дек 23 10:13:37 	8.144GiB / 31.03GiB	26.25%	62.76%
дек 23 10:13:39 	8.144GiB / 31.03GiB	26.25%	62.18%
дек 23 10:13:41 	8.144GiB / 31.03GiB	26.25%	66.16%
дек 23 10:13:44 	8.145GiB / 31.03GiB	26.25%	92.38%
дек 23 10:13:46 	8.145GiB / 31.03GiB	26.25%	65.35%
дек 23 10:13:48 	8.147GiB / 31.03GiB	26.25%	8.47%
дек 23 10:13:50 	8.15GiB / 31.03GiB	26.26%	75.89%
дек 23 10:13:52 	8.15GiB / 31.03GiB	26.26%	66.39%
дек 23 10:13:54 	8.15GiB / 31.03GiB	26.26%	66.81%
дек 23 10:13:56 	8.15GiB / 31.03GiB	26.26%	66.87%
дек 23 10:13:58 	8.15GiB / 31.03GiB	26.26%	68.28%
дек 23 10:14:00 	8.15GiB / 31.03GiB	26.26%	42.59%
дек 23 10:14:02 	8.15GiB / 31.03GiB	26.26%	65.58%
дек 23 10:14:04 	8.15GiB / 31.03GiB	26.27%	81.76%
дек 23 10:14:06 	8.151GiB / 31.03GiB	26.27%	64.21%
дек 23 10:14:09 	8.147GiB / 31.03GiB	26.26%	65.45%
дек 23 10:14:11 	8.144GiB / 31.03GiB	26.24%	64.85%
дек 23 10:14:13 	8.144GiB / 31.03GiB	26.24%	7.51%
дек 23 10:14:15 	8.144GiB / 31.03GiB	26.24%	64.22%
дек 23 10:14:17 	8.144GiB / 31.03GiB	26.24%	63.58%
дек 23 10:14:19 	8.145GiB / 31.03GiB	26.25%	87.87%
дек 23 10:14:21 	8.144GiB / 31.03GiB	26.25%	67.38%
дек 23 10:14:23 	8.144GiB / 31.03GiB	26.25%	28.83%
