дек 23 10:05:48 	3.496MiB / 31.03GiB	0.01%	0.13%
дек 23 10:05:51 	3.688MiB / 31.03GiB	0.01%	0.16%
дек 23 10:05:53 	3.953MiB / 31.03GiB	0.01%	0.14%
дек 23 10:05:55 	4.055MiB / 31.03GiB	0.01%	0.13%
дек 23 10:05:57 	4.086MiB / 31.03GiB	0.01%	0.14%
дек 23 10:05:59 	4.156MiB / 31.03GiB	0.01%	0.43%
дек 23 10:06:01 	66.29MiB / 31.03GiB	0.21%	120.16%
дек 23 10:06:03 	128.1MiB / 31.03GiB	0.40%	2.13%
дек 23 10:06:05 	135MiB / 31.03GiB	0.42%	143.08%
дек 23 10:06:07 	157.1MiB / 31.03GiB	0.49%	61.31%
дек 23 10:06:09 	175.9MiB / 31.03GiB	0.55%	105.13%
дек 23 10:06:12 	199.6MiB / 31.03GiB	0.63%	7.43%
дек 23 10:06:14 	199.9MiB / 31.03GiB	0.63%	65.38%
дек 23 10:06:16 	201.1MiB / 31.03GiB	0.63%	0.23%
дек 23 10:06:18 	216.8MiB / 31.03GiB	0.68%	64.83%
дек 23 10:06:20 	216.6MiB / 31.03GiB	0.68%	0.32%
дек 23 10:06:22 	237.7MiB / 31.03GiB	0.75%	52.27%
дек 23 10:06:24 	253.1MiB / 31.03GiB	0.80%	218.20%
дек 23 10:06:26 	264.8MiB / 31.03GiB	0.83%	216.66%
дек 23 10:06:28 	264.3MiB / 31.03GiB	0.83%	41.37%
дек 23 10:06:31 	256.6MiB / 31.03GiB	0.81%	48.15%
